ITEM ;NOME;AMBIENTE;LOCAL ;TAG ;ENDEREÇO ;CNPJ;MODELO;NUMERO DE SERIE
17;SEDE;SEDE PISO TÉRREO;CORREDOR E ENTRADA;SPT-CE-015;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;911AZHY9U065
18;SEDE;SEDE PISO TÉRREO;CORREDOR E ENTRADA;SPT-CE-016;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;911AZYE9U090
19;SEDE;SEDE PISO TÉRREO;ANÁLISE TECNICA;SPT-AL-017;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;912AZRD52550
20;SEDE;SEDE PISO TÉRREO;COPA;SPT-CO-018;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;909AZGF7R327
21;SEDE;SEDE PISO TÉRREO;GUARITA;SPT-GU-019;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL INVERTER WI-FI SPRINGER MIDEA 18000 BTUS QUENTE FRIO 42MBQA18M5/38MBQA18M5;11706148
22;SEDE;SEDE PISO TÉRREO;SALA DO NOBREAK;SPT-NB-020;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT HI-WALL INVERTER DAIKIN 12000 BTUS FRIO ADVANCE 220V FTK12P5VL | RK12P5VL;R519239
23;SEDE;SEDE PISO SUPERIOR;HALL ELEVADOR;SPS-HE-001 ;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;908AZCQAE939
24;SEDE;SEDE PISO SUPERIOR;HALL ELEVADOR;SPS-HE-002;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;908AZFMAE907
25;SEDE;SEDE PISO SUPERIOR;CORREDOR E ENTRADA;SPS-CE-003;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;908AZGF5X383
26;SEDE;SEDE PISO SUPERIOR;CORREDOR E ENTRADA;SPS-CE-004;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;909AZPU6N608
27;SEDE;SEDE PISO SUPERIOR;REUNIÃO;SPS-SR-005;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;908AZYEAE938
28;SEDE;SEDE PISO SUPERIOR;REUNIÃO;SPS-SR-006;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;908AZXCAE906
